plab,family,variant,scenario,mon,value,row
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,4.1256628200268,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,3.91151992290579,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,2.90472846149013,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,2.67829234269296,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.63381328265613,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.54901005831011,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.15030824134606,LAI one-sided (m2/m2)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.06063674983006,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,0.593008690717543,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,0.562228521666461,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,0.417515753705499,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,0.384968598933844,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,0.661762136956706,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,0.627413314138467,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,0.465922543312007,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,0.429601870393218,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,full,STATIC_ALS,Jun,3.3713470697403,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,full,STATIC_ALS,Jul,3.3713470697403,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,full,STATIC_ALS,Aug,3.3713470697403,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,full,STATIC_ALS,Sep,3.34165810337272,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,d_opt,STATIC_ALS_DOPT,Jun,1.31339263916016,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,d_opt,STATIC_ALS_DOPT,Jul,1.31339263916016,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,d_opt,STATIC_ALS_DOPT,Aug,1.31339263916016,LAI one-sided (m2/m2)
P2  (LAI=3.4),LiDAR,d_opt,STATIC_ALS_DOPT,Sep,1.30182655916755,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jun,4.50591980004364,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jul,3.9904554376762,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Aug,3.81174417312125,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Sep,3.46429788427476,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,opt,DYN_S2_OPT_NM,Jun,4.08703109987423,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,opt,DYN_S2_OPT_NM,Jul,3.61948640903172,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,opt,DYN_S2_OPT_NM,Aug,3.45738887322408,LAI one-sided (m2/m2)
P2  (LAI=3.4),Sentinel-2,opt,DYN_S2_OPT_NM,Sep,3.142242609849,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,3.4303331891303,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,3.03791286464388,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,2.90186091314924,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,2.6373518697218,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.37502418948545,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.21772534740085,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.16318990899953,LAI one-sided (m2/m2)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.05716337659071,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,3.16944027735974,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,2.80686535722577,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,2.68116079411018,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,2.43676890278566,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,3.49428309984001,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,3.09454708812207,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,2.95595879112678,LAI one-sided (m2/m2)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,2.68651864369968,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,full,STATIC_ALS,Jun,4.69293588399887,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,full,STATIC_ALS,Jul,4.69293588399887,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,full,STATIC_ALS,Aug,4.69293588399887,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,full,STATIC_ALS,Sep,4.65160865997148,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,d_opt,STATIC_ALS_DOPT,Jun,1.31510776281357,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,d_opt,STATIC_ALS_DOPT,Jul,1.31510776281357,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,d_opt,STATIC_ALS_DOPT,Aug,1.31510776281357,LAI one-sided (m2/m2)
P3  (LAI=4.7),LiDAR,d_opt,STATIC_ALS_DOPT,Sep,1.30352657899231,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jun,4.71454660610933,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jul,4.15773438228387,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Aug,3.84598572583308,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Sep,3.53782059432797,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,opt,DYN_S2_OPT_NM,Jun,4.23546949406181,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,opt,DYN_S2_OPT_NM,Jul,3.73523874337258,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,opt,DYN_S2_OPT_NM,Aug,3.45516898597511,LAI one-sided (m2/m2)
P3  (LAI=4.7),Sentinel-2,opt,DYN_S2_OPT_NM,Sep,3.17831860720654,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,3.58915968599392,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,3.16526145072498,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,2.92792882823143,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,2.6933243245462,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.42496420160392,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.25666859393328,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.16244305912472,LAI one-sided (m2/m2)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.06930063902259,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,4.73367196521932,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,4.17460093802904,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,3.86158762020042,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,3.55217236449512,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,5.26910113019313,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,4.64679316232573,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,4.29837467476375,LAI one-sided (m2/m2)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,3.95396122881424,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,full,STATIC_ALS,Jun,5.69467830657959,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,full,STATIC_ALS,Jul,5.69467830657959,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,full,STATIC_ALS,Aug,5.69467830657959,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,full,STATIC_ALS,Sep,5.64452947609112,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,d_opt,STATIC_ALS_DOPT,Jun,1.33309823274612,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,d_opt,STATIC_ALS_DOPT,Jul,1.33309823274612,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,d_opt,STATIC_ALS_DOPT,Aug,1.33309823274612,LAI one-sided (m2/m2)
P4  (LAI=5.7),LiDAR,d_opt,STATIC_ALS_DOPT,Sep,1.32135862012899,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jun,4.52547744590069,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jul,4.07684705936381,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Aug,3.7574960653516,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Sep,3.4515016765027,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,opt,DYN_S2_OPT_NM,Jun,4.01128190455789,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,opt,DYN_S2_OPT_NM,Jul,3.6136259725898,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,opt,DYN_S2_OPT_NM,Aug,3.33056040021707,LAI one-sided (m2/m2)
P4  (LAI=5.7),Sentinel-2,opt,DYN_S2_OPT_NM,Sep,3.0593338236715,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,3.4452223226839,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,3.10368235462346,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,2.86056211228554,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,2.62761018363696,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.34953943702119,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.21575368590094,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.1205202512361,LAI one-sided (m2/m2)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.0292698803757,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,5.5140041445611,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,4.96737677975538,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,4.57826806678453,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,4.20543352092824,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,6.22082964661754,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,5.60413157612551,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,5.16514405381945,LAI one-sided (m2/m2)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,4.74451684075619,LAI one-sided (m2/m2)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,3.03714548783052,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,2.58403562645604,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,2.43250956898464,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,2.25001561999042,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,0.258685880051727,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,0.260332310623763,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,0.31991490978953,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,0.265311379937803,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,-0.142190551757813,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,-0.0654976137222782,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,-0.0439472813760081,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,-0.0334330240885417,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jun,-0.132585209566099,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Jul,-0.103800254054748,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Aug,-0.104593294208252,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALS,DYN_ALS_S2TIMING_NM,Sep,-0.119381108867087,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,2.97731856067437,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,2.52916625224094,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,2.46801057760192,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,2.19695236803584,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,0.177147536045997,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,0.181140516534482,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,0.163899643976094,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,0.191090084776694,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,-0.254069010416667,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,-0.160637640183972,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,-0.15484126921623,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,-0.130091349283854,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jun,-0.337138003620028,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Jul,-0.229475152477562,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Aug,-0.233512330404826,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),Fusion (ALS x S2-timing),ALSxopt,DYN_ALSoOPT_S2TIMING_NM,Sep,-0.260857765320721,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,1.89019031239113,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,1.51926126444558,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,1.54324986174973,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,1.45845663456582,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,0.190300411093853,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,0.194940604605711,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,0.179925001563801,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,0.23232367021404,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,0.13116455078125,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,0.17412837859123,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,0.182975522933468,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,0.248548380533854,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jun,0.426787165393866,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Jul,0.358386846342682,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Aug,0.365908442637311,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,ATBD,DYN_ATBD_rfull_NM,Sep,0.354501437818967,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,2.58447265845577,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,2.07197084852472,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.95860734558773,Tmax @1m  v3.2.0 (degC)
P1  (LAI=0.5),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.86995198660414,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.43415883276002,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.32079347128581,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.0741775206353,Tmax @1m  v3.2.0 (degC)
P2  (LAI=3.4),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.10590646732004,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.24806722005208,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.20118664157006,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Aug,1.29185239730343,Tmax @1m  v3.2.0 (degC)
P3  (LAI=4.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Sep,1.13857116699219,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jun,1.68917853734434,Tmax @1m  v3.2.0 (degC)
P4  (LAI=5.7),S2 rescaled->LiDAR,opt,DYN_OPT_rdopt_NM,Jul,1.33459105090627,Tmax @1m  v3.2.0 (degC)
