plab,date,tmax
P3  (LAI=4.7),2021-07-02,24.738
P3  (LAI=4.7),2021-07-03,21.664
P3  (LAI=4.7),2021-07-04,21.091
P3  (LAI=4.7),2021-07-05,20.424
P3  (LAI=4.7),2021-07-06,20.519
P3  (LAI=4.7),2021-07-07,21.569
P3  (LAI=4.7),2021-07-08,20.043
P3  (LAI=4.7),2021-07-09,21.855
P3  (LAI=4.7),2021-07-10,18.806
P3  (LAI=4.7),2021-07-11,21.569
P3  (LAI=4.7),2021-07-12,19.282
P3  (LAI=4.7),2021-07-13,17.189
P3  (LAI=4.7),2021-07-14,20.138
P3  (LAI=4.7),2021-07-15,22.429
P3  (LAI=4.7),2021-07-16,18.996
P3  (LAI=4.7),2021-07-17,22.621
P3  (LAI=4.7),2021-07-18,28.357
P3  (LAI=4.7),2021-07-19,29.752
P3  (LAI=4.7),2021-07-20,28.655
P3  (LAI=4.7),2021-07-21,28.655
P3  (LAI=4.7),2021-07-22,29.053
P3  (LAI=4.7),2021-07-23,28.357
P3  (LAI=4.7),2021-07-24,24.158
P3  (LAI=4.7),2021-07-25,21.855
P3  (LAI=4.7),2021-07-26,22.333
P3  (LAI=4.7),2021-07-27,18.521
P3  (LAI=4.7),2021-07-28,21.76
P3  (LAI=4.7),2021-07-29,22.238
P3  (LAI=4.7),2021-07-30,22.333
P3  (LAI=4.7),2021-07-31,20.71
P3  (LAI=4.7),2021-08-01,21.664
P3  (LAI=4.7),2021-08-02,20.519
P3  (LAI=4.7),2021-08-03,17.379
P3  (LAI=4.7),2021-08-04,18.14
P3  (LAI=4.7),2021-08-05,19.282
P3  (LAI=4.7),2021-08-06,19.758
P3  (LAI=4.7),2021-08-07,20.043
P3  (LAI=4.7),2021-08-08,20.043
P3  (LAI=4.7),2021-08-09,21.282
P3  (LAI=4.7),2021-08-10,24.255
P3  (LAI=4.7),2021-08-11,26.488
P3  (LAI=4.7),2021-08-12,29.152
P3  (LAI=4.7),2021-08-13,27.961
P3  (LAI=4.7),2021-08-14,29.352
P3  (LAI=4.7),2021-08-15,28.258
P3  (LAI=4.7),2021-08-16,22.525
P3  (LAI=4.7),2021-08-17,18.901
P3  (LAI=4.7),2021-08-18,20.71
P3  (LAI=4.7),2021-08-19,18.331
P3  (LAI=4.7),2021-08-20,23.966
P3  (LAI=4.7),2021-08-21,23.388
P3  (LAI=4.7),2021-08-22,21.187
P3  (LAI=4.7),2021-08-23,21.282
P3  (LAI=4.7),2021-08-24,24.158
P3  (LAI=4.7),2021-08-25,24.738
P3  (LAI=4.7),2021-08-26,21.187
P3  (LAI=4.7),2021-08-27,20.424
P3  (LAI=4.7),2021-08-28,20.615
P3  (LAI=4.7),2021-08-29,20.996
P3  (LAI=4.7),2021-08-30,21.187
P3  (LAI=4.7),2021-08-31,22.429
P3  (LAI=4.7),2021-09-01,24.062
P3  (LAI=4.7),2021-09-02,25.708
P3  (LAI=4.7),2021-09-03,25.61
P3  (LAI=4.7),2021-09-04,25.902
P3  (LAI=4.7),2021-09-05,26.977
P3  (LAI=4.7),2021-09-06,28.853
P3  (LAI=4.7),2021-09-07,30.255
P3  (LAI=4.7),2021-09-08,26.781
P3  (LAI=4.7),2021-09-09,22.908
P3  (LAI=4.7),2021-09-10,20.805
P3  (LAI=4.7),2021-09-11,20.043
P3  (LAI=4.7),2021-09-12,22.812
P3  (LAI=4.7),2021-09-13,24.641
P3  (LAI=4.7),2021-09-14,23.1
P3  (LAI=4.7),2021-09-15,21.378
P3  (LAI=4.7),2021-09-16,19.853
P3  (LAI=4.7),2021-09-17,20.996
P3  (LAI=4.7),2021-09-18,17.76
P3  (LAI=4.7),2021-09-19,16.808
P3  (LAI=4.7),2021-09-20,16.427
P3  (LAI=4.7),2021-09-21,16.332
P3  (LAI=4.7),2021-09-22,18.711
P3  (LAI=4.7),2021-09-23,20.424
P3  (LAI=4.7),2021-09-24,21.473
P3  (LAI=4.7),2021-09-25,18.901
P3  (LAI=4.7),2021-09-26,19.758
P3  (LAI=4.7),2021-09-27,17.665
P3  (LAI=4.7),2021-09-28,16.332
P3  (LAI=4.7),2021-09-29,16.999
P3  (LAI=4.7),2021-09-30,16.523
